"","Age","SES1","SES2","threshold","minincome","maxincome","adj_inc","INR"
"779",36,5,"$80,000 - $89,999",29854,80000,90000,85000,2.84718965632746
"780",60,1,"$170,000-$179,999",16072,170000,180000,175000,10.8885017421603
"781",57,2,"$130,000-$139,999",16072,130000,140000,135000,8.39970134395221
"782",33,3,"$80,000 - $89,999",18774,80000,90000,85000,4.52753808458506
"783",62,1,"$70,000 - $79,999",12486,70000,80000,75000,6.00672753483902
"784",37,4,"$70,000 - $79,999",29854,70000,80000,75000,2.51222616734776
"785",38,3,"$90,000 - $99,999",18774,90000,1e+05,95000,5.06018962394801
"786",59,2,"$140,000-$149,999",16072,140000,150000,145000,9.02190144350423
"787",31,1,"$100,000 - $109,999",18774,1e+05,110000,105000,5.59284116331096
"788",34,3,"$120,000-$129,999",29854,120000,130000,125000,4.18704361224627
"789",75,2,"$140,000-$149,999",12486,140000,150000,145000,11.6130065673554
"790",62,2,"$100,000 - $109,999",16072,1e+05,110000,105000,6.53310104529617
"791",39,4,"$100,000 - $109,999",16072,1e+05,110000,105000,6.53310104529617
"792",46,2,"$120,000-$129,999",16072,120000,130000,125000,7.7775012444002
"793",47,2,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"794",31,3,"$150,000-$159,999",24755,150000,160000,155000,6.2613613411432
"795",54,4,"$110,000-$119,999",12486,110000,120000,115000,9.21031555341983
"796",63,2,"$120,000-$129,999",29854,120000,130000,125000,4.18704361224627
"797",49,4,"$190,000-$199,999",12486,190000,2e+05,195000,15.6174915905815
"798",47,6,"$140,000-$149,999",12486,140000,150000,145000,11.6130065673554
"799",41,3,"$100,000 - $109,999",12486,1e+05,110000,105000,8.40941854877463
"800",32,7,"$120,000-$129,999",18774,120000,130000,125000,6.65814424203686
"801",46,4,"$190,000-$199,999",24755,190000,2e+05,195000,7.87719652595435
"802",31,1,"$100,000 - $109,999",18774,1e+05,110000,105000,5.59284116331096
"803",18,5,"$130,000-$139,999",18774,130000,140000,135000,7.19079578139981
"804",61,2,"$500,000-$999,999",29854,5e+05,1e+06,750000,25.1222616734776
"805",35,4,"$250,000-$299,999",18774,250000,3e+05,275000,14.6479173324811
"806",31,2,"$120,000-$129,999",18774,120000,130000,125000,6.65814424203686
"807",35,3,"$140,000-$149,999",24755,140000,150000,145000,5.85740254494042
"808",58,2,"$140,000-$149,999",18774,140000,150000,145000,7.72344732076276
"809",50,5,"$140,000-$149,999",34337,140000,150000,145000,4.2228499868946
"810",27,2,"$170,000-$179,999",18774,170000,180000,175000,9.3214019388516
"811",20,3,"$100,000 - $109,999",16072,1e+05,110000,105000,6.53310104529617
"812",30,2,"$170,000-$179,999",12486,170000,180000,175000,14.015697581291
"813",23,2,"$100,000 - $109,999",24755,1e+05,110000,105000,4.24156736012927
"814",59,2,"$120,000-$129,999",16072,120000,130000,125000,7.7775012444002
"815",55,2,"$150,000-$159,999",18774,150000,160000,155000,8.25609886012571
"816",29,2,"$120,000-$129,999",16072,120000,130000,125000,7.7775012444002
"817",46,4,"$120,000-$129,999",16072,120000,130000,125000,7.7775012444002
"818",51,3,"$110,000-$119,999",16072,110000,120000,115000,7.15530114484818
"819",53,2,"$160,000-$169,999",16072,160000,170000,165000,10.2663016426083
"820",68,2,"$100,000 - $109,999",12486,1e+05,110000,105000,8.40941854877463
"821",38,5,"$100,000 - $109,999",24755,1e+05,110000,105000,4.24156736012927
"822",29,2,"$110,000-$119,999",18774,110000,120000,115000,6.12549270267391
"823",44,3,"$140,000-$149,999",18774,140000,150000,145000,7.72344732076276
"824",63,2,"$130,000-$139,999",16072,130000,140000,135000,8.39970134395221
"825",63,2,"$100,000 - $109,999",18774,1e+05,110000,105000,5.59284116331096
"827",59,1,"$140,000-$149,999",12486,140000,150000,145000,11.6130065673554
"828",33,4,"$110,000-$119,999",18774,110000,120000,115000,6.12549270267391
"829",49,2,"$190,000-$199,999",14507,190000,2e+05,195000,13.4417867236507
"830",32,1,"$100,000 - $109,999",16072,1e+05,110000,105000,6.53310104529617
"831",42,3,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"832",62,2,"$120,000-$129,999",18774,120000,130000,125000,6.65814424203686
"833",30,3,"$130,000-$139,999",12486,130000,140000,135000,10.8121095627102
"834",23,1,"$100,000 - $109,999",16072,1e+05,110000,105000,6.53310104529617
"835",69,6,"$120,000-$129,999",29854,120000,130000,125000,4.18704361224627
"836",35,3,"$100,000 - $109,999",24755,1e+05,110000,105000,4.24156736012927
"838",54,3,"$250,000-$299,999",12486,250000,3e+05,275000,22.0246676277431
"839",40,4,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"840",45,2,"$120,000-$129,999",12486,120000,130000,125000,10.011212558065
"841",52,2,"$190,000-$199,999",12486,190000,2e+05,195000,15.6174915905815
"842",58,2,"$180,000-$189,999",29854,180000,190000,185000,6.19682454612447
"843",19,3,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"844",63,2,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
"845",23,4,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"846",52,2,"$200,000-$249,999",16072,2e+05,250000,225000,13.9995022399204
"847",29,7,"$190,000-$199,999",12486,190000,2e+05,195000,15.6174915905815
"848",38,4,"$150,000-$159,999",24755,150000,160000,155000,6.2613613411432
"849",43,3,"$350,000-$399,999",12486,350000,4e+05,375000,30.0336376741951
"850",23,8,"$190,000-$199,999",24755,190000,2e+05,195000,7.87719652595435
"851",67,2,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"853",56,2,"$170,000-$179,999",18774,170000,180000,175000,9.3214019388516
"854",30,1,"$40,000 - $49,999",24755,40000,50000,45000,1.81781458291254
"855",70,2,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"856",58,1,"$190,000-$199,999",12486,190000,2e+05,195000,15.6174915905815
"857",34,3,"$150,000-$159,999",29854,150000,160000,155000,5.19193407918537
"858",43,6,"$300,000-$349,999",16072,3e+05,350000,325000,20.2215032354405
"859",36,4,"$150,000-$159,999",16072,150000,160000,155000,9.64410154305625
